ID,Area,Role,"User Story","Expected Behaviour (code-derived)","Code Reference","P1 Built","P2 Test Result","Errors Found","P3 Fix Status","P4 Re-test"
RP-01,"Annual report (View KPIs)",Admin,"As an admin, I want annual KPIs so that I report yearly","AnnualReportPage submenu (stride_view). buildReport(year): enrollments/unique_participants/unique_organisations/completions/completion_rate/training_hours/editions_ran/sessions_ran. Current vs previous year.","AnnualReportService.php 31-87",Yes,DRIVEN_PASS,"Jaarrapport 2026: Inschrijvingen 35, deelnemers 23, organisaties 2, voltooid 1, 2.9%, 45u, 27 edities, 46 sessies.",,
RP-02,"Annual report (PDF export)",Admin,"As an admin, I want a PDF of the annual report so that I distribute it","stride_annual_report_pdf, nonce, year clamped 2000-2100. DOMPDF isRemoteEnabled=false, DejaVu Sans. Tables only. jaarrapport-{year}.pdf.",AnnualReportPdfGenerator.php,Yes,DRIVEN_PASS,"PDF export -> 200 application/pdf.",,
RP-03,"Annual report (CSV export)",Admin,"As an admin, I want CSV of the annual report so that I analyse data","stride_annual_report_csv, nonce. Formula-injection safe. Per-section or combined.",Admin/AnnualReportPage.php,Yes,DRIVEN_PASS,"CSV export -> 200 text/csv.",,
MB-01,"Multi-brand (Toggle client plugin)",Admin,"As an admin, I want to enable/disable client brand mu-plugins so that I swap branding","stride-client-* enabled via .off rename / config. Override templates/assets/colors. apply_filters('stride/brand'). One active at a time.",stride-client-*.php.off,Yes,"DRIVEN_PASS (manual, earlier)","VAD launch brand loads (tracked .php); activate/deactivate via .php<->.php.off verified. Other 4 brands off.",,
MB-02,"Multi-brand (Branded experience)",Student,"As a student, I want brand-specific templates/colors/logo so that the instance is branded","Active client hooks wp_enqueue_scripts adds CSS/logo. Templates override via addPath(). Logo/colors/typography from brand config.",stride-client-*/templates,Yes,"DRIVEN_PASS (manual, earlier)","VAD active -> frontend enqueues stride-client-vad/assets/client.css.",,
ML-01,"Mail (Interest/waitlist confirmation)",Student,"As a student, I want email confirmation on interest/waitlist so that I know I'm registered","onInterestRegisteredUserMail/onWaitlistRegisteredUserMail on events. ndmail_send template. Name/email from WP_User or enrollment_data (anonymous). SmartCodes evaluated.","StrideMailBridge.php 107-160",Yes,"DRIVEN_PASS (corrected)","User-facing anonymous interest path verified WORKING (real stride_submit_interest filter -> 'Bevestiging interesse' in Mailpit). Service methods registerInterest/registerWaitlist hardened to also include name/email in dispatch (defensive).","Hardened (not user-facing)","DRIVEN_PASS (real form path)"
ML-02,"Mail (Admin new-enrollment notify)",Admin,"As an admin, I want email on new enrollment so that I'm aware","scheduleAdminNotify() on registration/created → wp_schedule_single_event(1s). Async send to getAdminEmail() (stride_admin_email option).","StrideMailBridge.php 82-100",Yes,"DRIVEN_PASS (real)","Admin new-enrollment notify landed in Mailpit ('Nieuwe inschrijving: Thomas Bakker...' to admin@stride.local) from the real PA-06 enrollment.",,
ML-03,"Mail (Task completion emails)",Student,"As a student, I want task completion emails so that I'm guided","onTaskCompleted() on enrollment/task_completed. Task-specific template. completion.url → /edities/{slug}/voltooien/.","StrideMailBridge.php 56",Yes,"BACKEND-VERIFIED (no isolated UI surface)","task_completed listener registered; mail sends through same ndmail path proven working (ML-02/04 landed in Mailpit).",,
ML-04,"Mail (Quote email + audit)",Admin,"As an admin, I want to email a quote with audit so that sending is traceable","onQuoteSendEmail(quote_id,to,cc) → ndmail_send stride-quote-email. AuditBridge logs quote.email_sent {to,cc}.","StrideMailBridge.php 68-69",Yes,"DRIVEN_PASS (real)","Quote email 'Je offerte OFF-...-0485 is aangemaakt' landed in Mailpit (student3) from the PA-06 enrollment's quote creation.",,
ML-05,"Notifications (In-app)",Student,"As a student, I want in-app notifications for admin actions so that I stay informed","getNotifications(): AuditService.getForSubjectUser + session-note updates. Maps to {id,type,title,body,url,timestamp,read}. Unread badge cached 10s. markAllRead/markRead → _stride_notifications_read.",NotificationService.php,Yes,"DRIVEN_FAIL (verified product bug)","FIXED + Phase-4 verified in browser: meldingen tab now shows 'Je hebt Bijscholing Bewegingsonderwijs - 20 Jul 2026 afgerond' (the completion.completed event, now Dutch) — no raw action key visible (anyRawDotKeyVisible=false). Was: 'completion.completed'.","FIXED + tested","DRIVEN_PASS (real browser)"
ML-06,"Notifications (Exclude operational)",Student,"As a student, I want operational logs excluded from notifications so that the feed is clean","EXCLUDED_ACTIONS=['mail.sent'] never surface even with context.user_id.","NotificationService.php 42",Yes,"DRIVEN_PASS (verified)","NotificationService::EXCLUDED_ACTIONS contains 'mail.sent' (confirmed via reflection).",,
ML-07,"Mail (SmartCodes + triggers)",Admin,"As an admin, I want SmartCode templates + dynamic triggers so that mails are personalised","registerSmartCodes() groups edition/registration/completion/quote/certificate/trajectory/gdpr with resolvers. registerTriggers() maps event→template. maybeSeedTemplates on admin_init.","StrideMailBridge.php 174-400",Yes,BACKEND-VERIFIED,"SmartCodes/triggers registered; resolved correctly in the PA-06 quote+admin mails that landed (titles substituted).",,
